Pocket_Money,Food,Travel,Entertainment,Other,Overspent
2860,2700,547,1423,534,1
7390,2384,389,1768,1051,0
7226,2419,704,425,822,0
7191,1377,1414,1533,1441,1
5772,837,1023,1241,131,0
5092,1456,1128,935,769,1
7734,2204,1133,1910,384,0
2466,660,1340,823,1428,1
7334,2103,333,324,528,0
6426,897,257,631,385,0
7578,1800,884,212,1267,0
5444,1315,871,239,1142,0
5171,2027,372,658,117,0
4919,2419,1014,100,868,1
2130,1915,1372,189,689,1
3685,1658,279,753,1494,1
2769,1718,1085,419,1298,1
4391,900,1436,1673,1109,1
7611,1139,402,1928,293,0
4433,959,963,238,601,0
7311,1454,1452,1634,1087,0
7051,969,1450,1991,1236,1
3184,1545,246,944,213,1
6555,2193,1456,358,1345,1
5385,2585,1366,1796,1046,1
6117,2777,1482,1001,930,1
6843,1062,855,789,1387,0
4904,2985,670,109,1024,1
2474,2299,1170,360,154,1
3082,2574,1235,1773,899,1
4558,725,935,271,877,0
4047,1297,983,997,261,1
4747,2831,1167,112,186,1
2975,1459,557,1291,154,1
3806,2004,1171,1765,1301,1
2189,952,867,1719,1472,1
4734,1315,572,420,1131,0
5005,1158,1231,1442,932,1
6658,1046,1345,1736,412,0
3899,1715,875,428,858,1
3267,516,289,884,542,0
3528,1743,897,876,427,1
5202,2705,1401,1010,1177,1
5556,1569,739,1673,860,1
5890,2646,931,1542,1362,1
2646,2268,1068,1729,1352,1
4888,1560,240,1218,678,0
7393,2827,939,1940,1174,1
4435,801,701,1704,1106,1
2600,680,1158,417,1387,1
4363,1106,1368,335,195,0
4061,1199,1424,433,1211,1
2241,1492,1128,475,1201,1
4041,1639,660,1582,1411,1
4824,690,931,1260,1243,1
4612,2800,951,687,913,1
3363,1480,1124,1670,590,1
7486,2506,1108,612,551,0
3478,1684,1476,1419,264,1
4556,627,589,1443,281,0
2775,2565,1082,1017,568,1
6014,2316,455,1695,1009,1
2034,2258,908,1955,834,1
5152,1069,649,1472,922,0
3955,1846,209,1963,1043,1
3585,2395,1023,1902,106,1
5943,1125,997,972,429,0
5073,2186,1465,1352,874,1
3021,654,1474,369,250,1
5461,1909,1076,1951,1208,1
4613,1284,1228,897,246,0
7225,745,1342,1414,1014,0
5843,2000,1215,824,1408,1
3500,2205,573,1288,799,1
6798,1037,1288,104,181,0
7675,2390,345,950,613,0
2161,2341,423,1502,914,1
6297,1420,1462,177,808,0
3981,2955,376,1533,845,1
2995,1024,1052,673,1122,1
6911,2029,262,231,806,0
5342,535,1440,700,570,0
6551,1184,1026,1872,1242,1
5798,519,994,1165,495,0
3275,2868,888,188,360,1
3016,899,304,501,904,1
2337,1471,1322,395,1033,1
2878,2406,710,1963,1379,1
3076,1666,584,1418,1004,1
6887,1615,604,715,1349,0
5993,1333,1022,1649,1176,1
